gene_symbol,allele_symbol,zygosity,phenotyping_center,n_mutants,n_males,n_females,genetic_background,pipeline_name,n_controls
Aldh1b1,Aldh1b1<tm2a(EUCOMM)Wtsi>,heterozygote,WTSI,3,0,3,involves: C57BL/6N,MGP Select Pipeline,960
Aldh1b1,Aldh1b1<tm2a(EUCOMM)Wtsi>,homozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Aldh3b1,Aldh3b1<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Alg13,Alg13<tm1a(KOMP)Wtsi>,hemizygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Alg13,Alg13<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Alox12e,Alox12e<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Alpk1,Alpk1<em1(IMPC)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Amz2,Amz2<tm1e(KOMP)Wtsi>,homozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Ankhd1,Ankhd1<tm1a(KOMP)Wtsi>,homozygote,WTSI,2,2,0,involves: C57BL/6N,MGP Select Pipeline,960
Ankrd13d,Ankrd13d<tm2a(KOMP)Wtsi>,homozygote,WTSI,5,5,0,involves: C57BL/6N,MGP Select Pipeline,960
Ankrd6,Ankrd6<tm1.1(KOMP)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Ankrd9,Ankrd9<tm1(KOMP)Wtsi>,homozygote,WTSI,8,7,1,involves: C57BL/6N,MGP Select Pipeline,960
Anks1b,Anks1b<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Anks6,Anks6<tm1b(KOMP)Wtsi>,heterozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
Ano10,Ano10<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,5,2,3,involves: C57BL/6N,MGP Select Pipeline,960
Anxa9,Anxa9<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Ap2a2,Ap2a2<em1(IMPC)Wtsi>,heterozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Ap2a2,Ap2a2<tm1b(EUCOMM)Wtsi>,heterozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Ap2a2,Ap2a2<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,6,1,5,involves: C57BL/6N,MGP Select Pipeline,960
Ap4e1,Ap4e1<tm1b(KOMP)Wtsi>,homozygote,WTSI,6,2,4,involves: C57BL/6N,MGP Select Pipeline,960
Ap4m1,Ap4m1<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,8,4,4,involves: C57BL/6N,MGP Select Pipeline,960
Apip,Apip<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Apol7a,Apol7a<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Apol9b,Apol9b<tm2a(KOMP)Wtsi>,homozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Apoo,Apoo<tm1b(KOMP)Wtsi>,hemizygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Apool,Apool<tm1a(KOMP)Wtsi>,hemizygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Apool,Apool<tm1a(KOMP)Wtsi>,homozygote,WTSI,3,0,3,involves: C57BL/6N,MGP Select Pipeline,960
Arap2,Arap2<tm2b(EUCOMM)Wtsi>,homozygote,WTSI,5,5,0,involves: C57BL/6N,MGP Select Pipeline,960
Arhgap17,Arhgap17<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Arhgap22,Arhgap22<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Arhgap30,Arhgap30<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,3,3,0,involves: C57BL/6N,MGP Select Pipeline,960
Arhgef1,Arhgef1<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Arhgef18,Arhgef18<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Arhgef38,Arhgef38<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Arhgef7,Arhgef7<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Arid1b,Arid1b<tm1b(EUCOMM)Hmgu>,heterozygote,WTSI,5,3,2,involves: C57BL/6N,MGP Select Pipeline,960
Armc7,Armc7<tm1.1(KOMP)Wtsi>,heterozygote,WTSI,5,4,1,involves: C57BL/6N,MGP Select Pipeline,960
Armh3,Armh3<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Arpc1b,Arpc1b<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Arpc3,Arpc3<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
